status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special
901254039928419_1432594340127717,#StartupIndia provides funding support to ftcash. Know more about www.ftcash.com #FundOfFunds,,photo,https://www.facebook.com/StartupIndia/photos/a.903216846398805.1073741828.901254039928419/1432594226794395/?type=3,2017-10-29 02:04:38,64,3,10,60,2,1,1,0,0,0
901254039928419_1431947570192394,#FundOfFunds has provided funding support to 75 startups already. Your startup can be the next! #StartupIndia,,photo,https://www.facebook.com/StartupIndia/photos/a.903216846398805.1073741828.901254039928419/1431947490192402/?type=3,2017-10-28 08:26:39,107,14,17,107,0,0,0,0,0,0
901254039928419_1430862713634213,India Israel Global Innovation Challenge is a platform that offers unprecedented advantage to innovative startups. Participate now bit.ly/2vXbyNh #StartupIndia,,photo,https://www.facebook.com/StartupIndia/photos/a.903216846398805.1073741828.901254039928419/1430862620300889/?type=3,2017-10-27 03:02:18,35,3,13,35,0,0,0,0,0,0
901254039928419_1430316213688863,Gain insights on accelerators & incubators by industry experts this #StartupThursday. #StartupIndia,StartupThursday on difference b/w an accelerator & incubator,video,https://www.facebook.com/StartupIndia/videos/1430316213688863/,2017-10-26 10:22:32,85,4,12,83,2,0,0,0,0,0
901254039928419_1430125117041306,This #StartupThursday know about the role & criteria for choosing the right accelerator & incubator. #StartupIndia,,photo,https://www.facebook.com/StartupIndia/photos/a.903216846398805.1073741828.901254039928419/1430124717041346/?type=3,2017-10-26 05:39:40,14,1,1,13,1,0,0,0,0,0
901254039928419_1430015700385581,Understand the difference between an accelerator & incubator this #StartupThursday. #StartupIndia,,photo,https://www.facebook.com/StartupIndia/photos/a.903216846398805.1073741828.901254039928419/1430015533718931/?type=3,2017-10-26 02:16:22,12,1,3,12,0,0,0,0,0,0
901254039928419_1429215507132267,"Start Up, Start now! Participate in the India Israel Global Innovation challenge and give wings to your dreams. bit.ly/2vXbyNh #StartupIndia",,photo,https://www.facebook.com/StartupIndia/photos/a.903216846398805.1073741828.901254039928419/1429215263798958/?type=3,2017-10-25 04:02:33,25,2,4,24,0,1,0,0,0,0
901254039928419_1428403663880118,"#StartupIndia Learning & Development Program preparing entrepreneurs of tomorrow, one at a time. http://www.startupindia.gov.in/learning-development/",,photo,https://www.facebook.com/StartupIndia/photos/a.903216846398805.1073741828.901254039928419/1428403543880130/?type=3,2017-10-24 06:25:30,52,3,4,49,2,1,0,0,0,0
901254039928419_1428325207221297,#StartupIndia Learning Program has helped thousands of entrepreneurs across the country. Have you enrolled in yet? http://www.startupindia.gov.in/learning-development/,,photo,https://www.facebook.com/StartupIndia/photos/a.903216846398805.1073741828.901254039928419/1428325130554638/?type=3,2017-10-24 04:27:22,35,0,8,35,0,0,0,0,0,0
901254039928419_1427493830637768,Shri. Suresh Prabhu speaking about the objective of #StartupIndia Hub.,,photo,https://www.facebook.com/StartupIndia/photos/a.903216846398805.1073741828.901254039928419/1427493767304441/?type=3,2017-10-23 06:42:16,75,11,5,74,1,0,0,0,0,0
901254039928419_1427347310652420,Participate in the India Israel Global Innovation Challenge to win mentorship from the experts themselves. Log on to bit.ly/2vXbyNh now! #StartupIndia,,photo,https://www.facebook.com/StartupIndia/photos/a.903216846398805.1073741828.901254039928419/1427347243985760/?type=3,2017-10-23 01:36:09,50,3,7,49,1,0,0,0,0,0
901254039928419_1424524627601355,Know how & when can a mentor help in your #startup journey. Watch the video to know more. #StartupThursday #StartupIndia,StartupThursday on criteria for choosing the right mentor,video,https://www.facebook.com/StartupIndia/videos/1424524627601355/,2017-10-19 12:43:09,55,2,7,54,1,0,0,0,0,0
901254039928419_1424312430955908,Get insights on the right mentor this #Startupthursday. Tune in to know more. #Startupindia,,photo,https://www.facebook.com/StartupIndia/photos/a.903216846398805.1073741828.901254039928419/1424312367622581/?type=3,2017-10-19 07:15:22,31,3,5,31,0,0,0,0,0,0
901254039928419_1424223724298112,Get insights on the right mentor this #Startupthursday. Tune in to know more. #Startupindia,,photo,https://www.facebook.com/StartupIndia/photos/a.903216846398805.1073741828.901254039928419/1424223540964797/?type=3,2017-10-19 04:51:15,26,0,1,25,1,0,0,0,0,0
901254039928419_1422534011133750,India Israel Global Innovation Challenge is a platform that offers unprecedented advantage to innovative startups. Participate now bit.ly/2vXbyNh #StartupIndia,,photo,https://www.facebook.com/StartupIndia/photos/a.903216846398805.1073741828.901254039928419/1422533981133753/?type=3,2017-10-17 01:10:02,29,3,12,28,1,0,0,0,0,0
901254039928419_1421747631212388,"Start Up, Start now! Participate in the India Israel Global Innovation challenge and give wings to your dreams. #StartupIndia",,photo,https://www.facebook.com/StartupIndia/photos/a.903216846398805.1073741828.901254039928419/1421747517879066/?type=3,2017-10-16 01:30:56,50,5,8,49,1,0,0,0,0,0
901254039928419_1420110978042720,India Israel Global Innovation Challenge is a platform that offers unprecedented advantage to innovative startups. Participate now bit.ly/2vXbyNh #StartupIndia,,photo,https://www.facebook.com/StartupIndia/photos/a.903216846398805.1073741828.901254039928419/1420110908042727/?type=3,2017-10-13 23:32:42,22,2,6,20,1,1,0,0,0,0
901254039928419_1419353154785169,Participate in the India Israel Global Innovation Challenge to win mentorship from the experts themselves. Log on to bit.ly/2vXbyNh now! #StartupIndia,,photo,https://www.facebook.com/StartupIndia/photos/a.903216846398805.1073741828.901254039928419/1419352584785226/?type=3,2017-10-13 01:40:22,47,5,6,47,0,0,0,0,0,0
901254039928419_1418756331511518,Listen to #startup expert & know how to find the best #mentor for your startup. #StartupThursday #StartupIndia,,video,https://www.facebook.com/StartupIndia/videos/1418756331511518/,2017-10-12 08:27:46,82,4,13,81,0,1,0,0,0,0
901254039928419_1418636294856855,This #StartupThursday will help you understand the importance of a right mentor. Stay tuned! #StartupIndia,,photo,https://www.facebook.com/StartupIndia/photos/a.903216846398805.1073741828.901254039928419/1418636224856862/?type=3,2017-10-12 04:52:40,19,0,3,19,0,0,0,0,0,0
901254039928419_1418543808199437,"Start Up, Start now! Participate in the India Israel Global Innovation challenge and give wings to your dreams. bit.ly/2vXbyNh #StartupIndia",,photo,https://www.facebook.com/StartupIndia/photos/a.903216846398805.1073741828.901254039928419/1418543748199443/?type=3,2017-10-12 01:17:09,12,0,3,12,0,0,0,0,0,0
901254039928419_1418537814866703,How to find & value of the right mentor? Get ans to all ur ques in this #StartupThursday video. #StartupIndia,,photo,https://www.facebook.com/StartupIndia/photos/a.903216846398805.1073741828.901254039928419/1418537698200048/?type=3,2017-10-12 01:05:14,26,2,1,24,2,0,0,0,0,0
901254039928419_1417784228275395,Participate in the India Israel Global Innovation Challenge to win mentorship from the experts themselves. Log on to bit.ly/2vXbyNh now! #StartupIndia,,photo,https://www.facebook.com/StartupIndia/photos/a.903216846398805.1073741828.901254039928419/1417784121608739/?type=3,2017-10-11 00:22:07,22,1,9,22,0,0,0,0,0,0
901254039928419_1417071588346659,India Israel Global Innovation Challenge is a platform that offers unprecedented advantage to innovative startups. Participate now bit.ly/2vXbyNh #StartupIndia,,photo,https://www.facebook.com/StartupIndia/photos/a.903216846398805.1073741828.901254039928419/1417071511680000/?type=3,2017-10-10 02:47:55,34,1,7,33,0,1,0,0,0,0
901254039928419_1416173948436423,"Start Up, Start now! Participate in the India Israel Global Innovation challenge and give wings to your dreams. bit.ly/2vXbyNh #StartupIndia",,photo,https://www.facebook.com/StartupIndia/photos/a.903216846398805.1073741828.901254039928419/1416173868436431/?type=3,2017-10-09 01:16:04,60,7,13,57,2,1,0,0,0,0
901254039928419_1413238555396629,Get ready with your questions related to Angel #Investors & #VC Funds. #StartupThursday is here to answer. #StartupIndia,,video,https://www.facebook.com/StartupIndia/videos/1413238555396629/,2017-10-05 09:55:42,126,5,23,121,2,3,0,0,0,0
901254039928419_1413155442071607,#VC Funds? Angel #investors ? What's the difference? Get answer to all your questions on this #StartupThursday #StartupIndia,,photo,https://www.facebook.com/StartupIndia/photos/a.903216846398805.1073741828.901254039928419/1413155382071613/?type=3,2017-10-05 07:43:50,37,1,5,36,0,1,0,0,0,0
